Country,URL,Has chapter in catalogue
Austria,https://deims.org/network/austria-lter-austria,Y
Belgium,https://deims.org/network/belgium-lter-belgium,Y
Bulgaria,https://deims.org/network/bulgaria-lter-bulgaria,Y
Czech Republic,https://deims.org/network/Czech-LTER-CZ-LTER,Y
Denmark,https://deims.org/network/Denmark-LTER-Denmark,N
Estonia,https://deims.org/network/Estonia-LTER-Estonia,N
Finland,https://deims.org/network/Finland-FinLTSER,Y
France,https://deims.org/network/france-lter-france,Y
Germany,https://deims.org/network/germany-lter-d,Y
Hungary,https://deims.org/network/hungary-lter-hu,Y
Israel,https://deims.org/network/israel-lter-israel,Y
Italy,https://deims.org/network/italy-lter-italia,Y
Jordan,https://deims.org/network/Jordan-LTER-Jordan,N
Latvia,https://deims.org/network/latvia-lter-latvia,Y
Lithuania,https://deims.org/network/lithuania-lter-lithuania,N
Greece,https://deims.org/network/LTER-Greece,Y
Turkey,https://deims.org/network/LTER-Turkey,N
Netherlands,https://deims.org/network/Netherlands-LTER,Y
Norway,https://deims.org/network/norway-lter-norway,N
Poland,https://deims.org/network/poland-lter-poland,Y
Portugal,https://deims.org/network/portugal-lter-portugal,Y
Romania,https://deims.org/network/romania-lter-romania,Y
Serbia,https://deims.org/network/Serbia-LTER-Serbia,Y
Slovakia,https://deims.org/network/Slovakia-LTER-Slovakia,Y
Slovenia,https://deims.org/network/slovenia-lter-slovenia,Y
Spain,https://deims.org/network/Spain-LTER-Spain,Y
Sweden,https://deims.org/network/sweden-lter-sweden,Y
Switzerland,https://deims.org/network/Switzerland-LTER-Switzerland,N
Ukraine,https://deims.org/network/Ukraine-LTER-Ukraine,N
United Kingdom,https://deims.org/network/united-kingdom-ecn,Y